Year,Death,Black,Thrash,Heavy,Doom,Progressive,Melodic,Sludge,Groove,Power,Stoner,Grindcore,Metalcore,Brutal,Crossover,Technical,Deathcore,Speed,Hardcore,Atmospheric,Symphonic,Ambient,Experimental,Gothic,Industrial,Post-Metal,Goregrind,Crust,Psychedelic,Folk,Noise,Drone,Post-Black,Funeral,Slam,Avant-garde
1968,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1972,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1973,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1974,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1975,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1976,0,0,2,15,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1977,1,1,2,26,2,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1978,1,1,5,41,3,4,2,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1979,2,1,8,81,6,8,5,1,1,11,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1980,2,1,14,118,7,6,6,1,2,25,1,0,0,0,2,0,0,5,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1981,2,1,27,177,11,11,5,1,5,41,1,0,0,0,6,0,0,11,7,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
