State,Population,Band_Count,BP100k,State_ID
Alabama,5039877,227,4.504078174923713,AL
Alaska,732673,64,8.735138322280198,AK
Arizona,7276316,804,11.049547600736418,AZ
Arkansas,3025891,172,5.684276135525041,AR
California,39237836,5548,14.139413804573728,CA
Colorado,5812069,848,14.59032919258185,CO
Connecticut,3605597,482,13.368105198667516,CT
Delaware,1003384,91,9.069309456798194,DE
Florida,21781128,1465,6.726006109509112,FL
Georgia,10799566,604,5.592817340993147,GA
Hawaii,1441553,47,3.260372667532862,HI
Idaho,1900923,134,7.0492071483168965,ID
Illinois,12671469,1748,13.794769967081166,IL
Indiana,6805985,645,9.476953005332806,IN
Iowa,3193079,225,7.04649023716607,IA
Kansas,2934582,359,12.23342881541562,KS
Kentucky,4509394,407,9.025602996766306,KY
Louisiana,4624047,321,6.941970961800345,LA
Maine,1372247,169,12.315567095428156,ME
Maryland,6165129,618,10.024121149776429,MD
Massachusetts,6984723,1175,16.82242803329495,MA
Michigan,10050811,1034,10.287727030186916,MI
Minnesota,5707390,666,11.669081664298393,MN
Mississippi,2949965,95,3.2203771909158245,MS
Missouri,6168187,487,7.895350773249903,MO
Montana,1104271,94,8.512403205372594,MT
Nebraska,1963692,152,7.740521425967005,NE
Nevada,3143991,295,9.382978513615338,NV
New Hampshire,1388992,205,14.758904298944845,NH
New Jersey,9267130,1156,12.474196434063188,NJ
New Mexico,2115877,270,12.760666144582128,NM
New York,19835913,2631,13.263821030068039,NY
North Carolina,10551162,790,7.487326988250205,NC
North Dakota,774948,73,9.419986889442905,ND
Ohio,11780017,1688,14.329351137608716,OH
Oklahoma,3986639,264,6.622119534776036,OK
Oregon,4246155,1052,24.775355586406995,OR
Pennsylvania,12964056,1772,13.668561752587307,PA
Rhode Island,1095610,222,20.26268471445131,RI
South Carolina,5190705,225,4.334671301875179,SC
South Dakota,895376,50,5.5842461714408245,SD
Tennessee,6975218,545,7.813375868682527,TN
Texas,29527941,2456,8.317545744215623,TX
Utah,3337975,271,8.118694717605734,UT
Vermont,645570,75,11.617640224917515,VT
Virginia,8642274,1057,12.230577276304826,VA
Washington,7738692,1341,17.328509779171984,WA
West Virginia,1782959,161,9.029932825151898,WV
Wisconsin,5895908,870,14.755996871050227,WI
Wyoming,578803,67,11.575613809880046,WY
